example_name,overhaul_status,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9
HRTIM triggered ADC,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Software triggered ADC,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
DAC signal generation,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Blinky LED,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Setting PWM duty cycle,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Setting multiple PWM,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Setting PWM phase shift,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Setting Burst Mode PWM,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Incremental encoder,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Grid Following Inverter,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Grid Forming Inverter,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Voltage Mode Boost,partially,circuit_diagram.png,wiring_diagram.png,main_structure.png,timing_diagram.png,control_diagram.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot.png
Current Mode Buck,completely,circuit_diagram.png,wiring_diagram.png,main_structure.png,timing_diagram.png,control_diagram.png,serial_monitor_button.png,serial_monitor_initialization.png,serial_monitor_operation.gif,result_plot.png
Voltage Mode Buck,completely,circuit_diagram.png,wiring_diagram.png,main_structure.png,timing_diagram.png,control_diagram.png,serial_monitor_button.png,serial_monitor_initialization.png,serial_monitor_operation.gif,result_plot.png
Interleaved,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button.png,serial_monitor_initialization.png,serial_monitor_operation.gif,result_plot_provisory.png
Current Ripple Measurement,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Independent,completely,circuit_diagram.png,wiring_diagram.png,main_structure.png,timing_diagram.png,control_diagram.png,serial_monitor_button.png,serial_monitor_initialization.png,serial_monitor_operation.gif,result_plot.png
Simple scope example,partially,circuit_diagram.png,wiring_diagram.png,main_structure.png,timing_diagram.png,control_diagram.png,serial_monitor_button.png,serial_monitor_initialization.png,serial_monitor_operation_provisory.gif,result_plot.png
AC client server,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
AC peer to peer,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
DC client server,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
DC droop,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Open Loop PWM,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button.png,serial_monitor_initialization.png,serial_monitor_operation_provisory.gif,result_plot.png
CAN Communication,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
Python Communication Protocol,partially,circuit_diagram_provisory.png,wiring_diagram_provisory.png,main_structure_provisory.png,timing_diagram_provisory.png,control_diagram_provisory.png,serial_monitor_button_provisory.png,serial_monitor_initialization_provisory.png,serial_monitor_operation_provisory.gif,result_plot_provisory.png
